Авторы,Идентификатор автора(ов),Название,Год,Название источника,Том,Выпуск ,Статья №,Страница начала,Страница окончания,Количество страниц,Цитирования,DOI,Ссылка,Организации,Авторы организаций,Адрес для корреспонденции,Редакторы,Издатель,ISSN,ISBN,CODEN,Идентификатор PubMed,Язык оригинального документа,Сокращенное название источника,Тип документа,Стадия публикации,Open Access (открытый доступ),Источник,EID
"Mazzoleni M., Juliette Cortes Arevalo V., Wehn U., Alfonso L., Norbiato D., Monego M., Ferri M., Solomatine D.P.","56069413500;57200304075;56971515800;35796956100;14827213900;55189786300;36777773900;6601958160;","Exploring the influence of citizen involvement on the assimilation of crowdsourced observations: A modelling study based on the 2013 flood event in the Bacchiglione catchment (Italy)",2018,"Hydrology and Earth System Sciences","22","1",,"391","416",,17,"10.5194/hess-22-391-2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040714374&doi=10.5194%2fhess-22-391-2018&partnerID=40&md5=a69d2406530108d91ed1366795ed4d1d","Integrated Water Systems and Governance Department, IHE Delft Institute for Water Education, Delft, 2611AX, Netherlands; Water Engineering and Management, University of Twente, Enschede, 7522 NB, Netherlands; Alto Adriatico Water Authority, Venice, Italy; Water Resources Management Department, Water Problems Institute, Russian Academy of Sciences, Moscow, Russian Federation; Water Resources Section, Delft University of Technology, Delft, 2628 CD, Netherlands","Mazzoleni, M., Integrated Water Systems and Governance Department, IHE Delft Institute for Water Education, Delft, 2611AX, Netherlands; Juliette Cortes Arevalo, V., Water Engineering and Management, University of Twente, Enschede, 7522 NB, Netherlands; Wehn, U., Integrated Water Systems and Governance Department, IHE Delft Institute for Water Education, Delft, 2611AX, Netherlands; Alfonso, L., Integrated Water Systems and Governance Department, IHE Delft Institute for Water Education, Delft, 2611AX, Netherlands; Norbiato, D., Alto Adriatico Water Authority, Venice, Italy; Monego, M., Alto Adriatico Water Authority, Venice, Italy; Ferri, M., Alto Adriatico Water Authority, Venice, Italy; Solomatine, D.P., Integrated Water Systems and Governance Department, IHE Delft Institute for Water Education, Delft, 2611AX, Netherlands, Water Resources Management Department, Water Problems Institute, Russian Academy of Sciences, Moscow, Russian Federation, Water Resources Section, Delft University of Technology, Delft, 2628 CD, Netherlands","Mazzoleni, M.; Integrated Water Systems and Governance Department, Netherlands; эл. почта: m.mazzoleni@un-ihe.org",,"Copernicus GmbH",10275606,,,,"English","Hydrol. Earth Syst. Sci.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85040714374
"Diaz V., Corzo G., Van Lanen H.A.J., Solomatine D.P.","57214021185;16416535700;6701418228;6601958160;","Spatiotemporal drought analysis at country scale through the application of the stand toolbox",2018,"Spatiotemporal Analysis of Extreme Hydrological Events",,,,"77","93",,7,"10.1016/B978-0-12-811689-0.00004-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072587881&doi=10.1016%2fB978-0-12-811689-0.00004-5&partnerID=40&md5=589c64e3531a00676b69ffbbc603d60c","UNESCO-IHE Institute for Water Education, Delft, Netherlands; Water Resources Section, Delft University of Technology, Delft, Netherlands; Hydrology and Quantitative Water Management Group, Wageningen University, Wageningen, Netherlands","Diaz, V., UNESCO-IHE Institute for Water Education, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands; Corzo, G., UNESCO-IHE Institute for Water Education, Delft, Netherlands; Van Lanen, H.A.J., Hydrology and Quantitative Water Management Group, Wageningen University, Wageningen, Netherlands; Solomatine, D.P., UNESCO-IHE Institute for Water Education, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands",,,"Elsevier",,9780128116890; 9780128117316,,,"English","Spatiotemporal Analysis of Extreme Hydrological Events",Book Chapter,"Final","",Scopus,2-s2.0-85072587881
"Minaya V., Corzo G.A., Solomatine D.P., Mynett A.E.","55653057700;16416535700;6601958160;6701334797;","Data-driven techniques for modelling the gross primary production of the páramo vegetation using climate data: Application in the Ecuadorian Andean region",2018,"Ecological Informatics","43",,,"222","230",,1,"10.1016/j.ecoinf.2016.12.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007574278&doi=10.1016%2fj.ecoinf.2016.12.002&partnerID=40&md5=2d88c4bf4b9fbf7b531f5a644ed4b67a","UNESCO-IHE, Institute for Water Education, Delft, Netherlands; Escuela Politécnica Nacional, Quito, Ecuador; Technological University Delft, Delft, Netherlands","Minaya, V., UNESCO-IHE, Institute for Water Education, Delft, Netherlands, Escuela Politécnica Nacional, Quito, Ecuador, Technological University Delft, Delft, Netherlands; Corzo, G.A., UNESCO-IHE, Institute for Water Education, Delft, Netherlands; Solomatine, D.P., UNESCO-IHE, Institute for Water Education, Delft, Netherlands, Technological University Delft, Delft, Netherlands; Mynett, A.E., UNESCO-IHE, Institute for Water Education, Delft, Netherlands, Technological University Delft, Delft, Netherlands","Minaya, V.; UNESCO-IHE, Netherlands; эл. почта: v.minayamaldonado@unesco-ihe.org",,"Elsevier B.V.",15749541,,,,"English","Ecol. Informatics",Article,"Final","",Scopus,2-s2.0-85007574278
"Le H.M., Corzo G., Medina V., Diaz V., Nguyen B.L., Solomatine D.P.","57204394596;16416535700;35775520300;57214021185;57216340632;6601958160;","A comparison of spatial-temporal scale between multiscalar drought indices in the south central region of vietnam",2018,"Spatiotemporal Analysis of Extreme Hydrological Events",,,,"143","169",,1,"10.1016/B978-0-12-811689-0.00007-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072588566&doi=10.1016%2fB978-0-12-811689-0.00007-0&partnerID=40&md5=eb704fa2bc3cd3a6480b065f3c19d918","National Central for Water Resources Planning and Investigation (NAWAPI), Ministry of Natural Resources and Environment (MONRE) of Vietnam, Hanoi, Viet Nam; UNESCO-IHE Delft Institute of Water Education, Delft, Netherlands; Thermal Engines Department, Technical University of Catalonia, Barcelona, Spain; Water Resources Section, Delft University of Technology, Delft, Netherlands; Faculty of Water Resources Engineering, Thuy Loi University, Hanoi, Viet Nam","Le, H.M., National Central for Water Resources Planning and Investigation (NAWAPI), Ministry of Natural Resources and Environment (MONRE) of Vietnam, Hanoi, Viet Nam; Corzo, G., UNESCO-IHE Delft Institute of Water Education, Delft, Netherlands; Medina, V., Thermal Engines Department, Technical University of Catalonia, Barcelona, Spain; Diaz, V., UNESCO-IHE Delft Institute of Water Education, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands; Nguyen, B.L., Faculty of Water Resources Engineering, Thuy Loi University, Hanoi, Viet Nam; Solomatine, D.P., UNESCO-IHE Delft Institute of Water Education, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands",,,"Elsevier",,9780128116890; 9780128117316,,,"English","Spatiotemporal Analysis of Extreme Hydrological Events",Book Chapter,"Final","",Scopus,2-s2.0-85072588566
"Wani O., Beckers J.V.L., Weerts A.H., Solomatine D.P.","57194333400;35733245400;6602950477;6601958160;","Residual uncertainty estimation using instance-based learning with applications to hydrologic forecasting",2017,"Hydrology and Earth System Sciences","21","8",,"4021","4036",,15,"10.5194/hess-21-4021-2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027305702&doi=10.5194%2fhess-21-4021-2017&partnerID=40&md5=74e5ab660e10c24a5925106f16567813","IHE Delft Institute for Water Education, Delft, Netherlands; Deltares, Delft, Netherlands; Hydrology and Quantitative Water Management Group, Department of Environmental Sciences, Wageningen University, Wageningen, Netherlands; Water Resources Section, Delft University of Technology, Delft, Netherlands; Water Problems Institute of RAS, Moscow, Russian Federation; Institute of Environmental Engineering, Swiss Federal Institute of Technology (ETH), Zürich, Switzerland; Swiss Federal Institute of Aquatic Science and Technology (Eawag), Dübendorf, Switzerland","Wani, O., IHE Delft Institute for Water Education, Delft, Netherlands, Deltares, Delft, Netherlands, Institute of Environmental Engineering, Swiss Federal Institute of Technology (ETH), Zürich, Switzerland, Swiss Federal Institute of Aquatic Science and Technology (Eawag), Dübendorf, Switzerland; Beckers, J.V.L., Deltares, Delft, Netherlands; Weerts, A.H., Deltares, Delft, Netherlands, Hydrology and Quantitative Water Management Group, Department of Environmental Sciences, Wageningen University, Wageningen, Netherlands; Solomatine, D.P., IHE Delft Institute for Water Education, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands, Water Problems Institute of RAS, Moscow, Russian Federation","Wani, O.; Institute of Environmental Engineering, Switzerland; эл. почта: owani@student.ethz.ch",,"Copernicus GmbH",10275606,,,,"English","Hydrol. Earth Syst. Sci.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85027305702
"Chacon-Hurtado J.C., Alfonso L., Solomatine D.P.","56737155600;35796956100;6601958160;","Rainfall and streamflow sensor network design: A review of applications, classification, and a proposed framework",2017,"Hydrology and Earth System Sciences","21","6",,"3071","3091",,36,"10.5194/hess-21-3071-2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021673888&doi=10.5194%2fhess-21-3071-2017&partnerID=40&md5=37b6c23cd09352a2e7a3e6d1b9f6634b","Department of Integrated Water Systems and Governance, UNESCO-IHE, Institute for Water Education, Delft, Netherlands; Water Resources Section, Delft University of Technology, Delft, Netherlands","Chacon-Hurtado, J.C., Department of Integrated Water Systems and Governance, UNESCO-IHE, Institute for Water Education, Delft, Netherlands; Alfonso, L., Department of Integrated Water Systems and Governance, UNESCO-IHE, Institute for Water Education, Delft, Netherlands; Solomatine, D.P., Department of Integrated Water Systems and Governance, UNESCO-IHE, Institute for Water Education, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands","Chacon-Hurtado, J.C.; Department of Integrated Water Systems and Governance, Netherlands; эл. почта: j.chaconhurtado@unesco-ihe.org",,"Copernicus GmbH",10275606,,,,"English","Hydrol. Earth Syst. Sci.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85021673888
"Le M.H., Perez G.C., Solomatine D., Medina V.","57192110941;16416535700;6601958160;35775520300;","Studying the impact of infilling techniques on drought estimation-A case study in the South Central Region of Vietnam",2017,"7th International Conference on Information Science and Technology, ICIST 2017 - Proceedings",,, 7926772,"292","298",,3,"10.1109/ICIST.2017.7926772","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020166009&doi=10.1109%2fICIST.2017.7926772&partnerID=40&md5=8525368dfbf0ebfae08d70c55541ea88","Department of Integrated Water Systems and Governance, UNESCO-IHE Institute for Water Education, Delft, Netherlands; Thermal Engines Department, Technical University of Catalonia, Barcelona, Spain","Le, M.H., Department of Integrated Water Systems and Governance, UNESCO-IHE Institute for Water Education, Delft, Netherlands; Perez, G.C., Department of Integrated Water Systems and Governance, UNESCO-IHE Institute for Water Education, Delft, Netherlands; Solomatine, D., Department of Integrated Water Systems and Governance, UNESCO-IHE Institute for Water Education, Delft, Netherlands; Medina, V., Thermal Engines Department, Technical University of Catalonia, Barcelona, Spain",,,"Institute of Electrical and Electronics Engineers Inc.",,9781509054015,,,"English","Int. Conf. Inf. Sci. Technol., ICIST - Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85020166009
"Hartanto I.M., van der Kwast J., Alexandridis T.K., Almeida W., Song Y., van Andel S.J., Solomatine D.P.","56616781500;16679924500;15062479400;57076137700;57221161225;15521024700;6601958160;","Data assimilation of satellite-based actual evapotranspiration in a distributed hydrological model of a controlled water system",2017,"International Journal of Applied Earth Observation and Geoinformation","57",,,"123","135",,18,"10.1016/j.jag.2016.12.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026676562&doi=10.1016%2fj.jag.2016.12.015&partnerID=40&md5=ed51b2b04476962ce43c656f550ef716","UNESCO-IHE Institute for Water Education, Delft, Netherlands; Lab of Remote Sensing and GIS, Aristotle University of Thessaloniki, Greece; CPTEC/INPE. Centre for Weather Forecast and Climate Analysis, National Institute for Space Research, Brazil; Water resources Section, Delft University of Technology, Delft, Netherlands","Hartanto, I.M., UNESCO-IHE Institute for Water Education, Delft, Netherlands; van der Kwast, J., UNESCO-IHE Institute for Water Education, Delft, Netherlands; Alexandridis, T.K., Lab of Remote Sensing and GIS, Aristotle University of Thessaloniki, Greece; Almeida, W., CPTEC/INPE. Centre for Weather Forecast and Climate Analysis, National Institute for Space Research, Brazil; Song, Y., UNESCO-IHE Institute for Water Education, Delft, Netherlands; van Andel, S.J., UNESCO-IHE Institute for Water Education, Delft, Netherlands; Solomatine, D.P., UNESCO-IHE Institute for Water Education, Delft, Netherlands, Water resources Section, Delft University of Technology, Delft, Netherlands","Hartanto, I.M.; UNESCO-IHE Institute for Water EducationNetherlands; эл. почта: isnaeni@gmail.com",,"Elsevier B.V.",15698432,,,,"English","Int. J. Appl. Earth Obs. Geoinformation",Article,"Final","",Scopus,2-s2.0-85026676562
"Mazzoleni M., Alfonso L., Solomatine D.","56069413500;35796956100;6601958160;","Influence of spatial distribution of sensors and observation accuracy on the assimilation of distributed streamflow data in hydrological modelling",2017,"Hydrological Sciences Journal","62","3",,"389","407",,9,"10.1080/02626667.2016.1247211","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992702872&doi=10.1080%2f02626667.2016.1247211&partnerID=40&md5=51640746a8e2b764b797fe44811ef7cf","Integrated Water Systems and Governance, UNESCO-IHE Institute for Water Education, Delft, Netherlands; Water Resources Section, Delft, Delft University of Technology, Netherlands","Mazzoleni, M., Integrated Water Systems and Governance, UNESCO-IHE Institute for Water Education, Delft, Netherlands; Alfonso, L., Integrated Water Systems and Governance, UNESCO-IHE Institute for Water Education, Delft, Netherlands; Solomatine, D., Integrated Water Systems and Governance, UNESCO-IHE Institute for Water Education, Delft, Netherlands, Water Resources Section, Delft, Delft University of Technology, Netherlands","Mazzoleni, M.; Integrated Water Systems and Governance, Netherlands; эл. почта: m.mazzoleni@unesco-ihe.org",,"Taylor and Francis Ltd.",02626667,,HSJOD,,"English","Hydrol. Sci. J.",Article,"Final","",Scopus,2-s2.0-84992702872
"Mazzoleni M., Verlaan M., Alfonso L., Monego M., Norbiato D., Ferri M., Solomatine D.P.","56069413500;6701490200;35796956100;55189786300;14827213900;36777773900;6601958160;","Can assimilation of crowdsourced data in hydrological modelling improve flood prediction?",2017,"Hydrology and Earth System Sciences","21","2",,"839","861",,36,"10.5194/hess-21-839-2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012922076&doi=10.5194%2fhess-21-839-2017&partnerID=40&md5=056c035e73dbeed43e70c8d3d9c83d7f","UNESCO-IHE Institute for Water Education, Hydroinformatics Group, Delft, Netherlands; Deltares, Delft, Netherlands; Alto Adriatico Water Authority, Venice, Italy; Delft University of Technology, Water Resources Section, Delft, Netherlands","Mazzoleni, M., UNESCO-IHE Institute for Water Education, Hydroinformatics Group, Delft, Netherlands; Verlaan, M., Deltares, Delft, Netherlands; Alfonso, L., UNESCO-IHE Institute for Water Education, Hydroinformatics Group, Delft, Netherlands; Monego, M., Alto Adriatico Water Authority, Venice, Italy; Norbiato, D., Alto Adriatico Water Authority, Venice, Italy; Ferri, M., Alto Adriatico Water Authority, Venice, Italy; Solomatine, D.P., UNESCO-IHE Institute for Water Education, Hydroinformatics Group, Delft, Netherlands, Delft University of Technology, Water Resources Section, Delft, Netherlands","Mazzoleni, M.; UNESCO-IHE Institute for Water Education, Netherlands; эл. почта: m.mazzoleni@unesco-ihe.org",,"Copernicus GmbH",10275606,,,,"English","Hydrol. Earth Syst. Sci.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85012922076
"Delipetrev B., Jonoski A., Solomatine D.P.","55887998700;6506344580;6601958160;","A novel nested stochastic dynamic programming (nSDP) and nested reinforcement learning (nRL) algorithm for multipurpose reservoir optimization",2017,"Journal of Hydroinformatics","19","1",,"47","61",,3,"10.2166/hydro.2016.243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013131132&doi=10.2166%2fhydro.2016.243&partnerID=40&md5=c2d23bdb7b58aa7fa76b60518d832e09","University Goce Delcev, Krste Misirkov bb, Shtip, 2000, North Macedonia; UNESCO-IHE Institute for Water Education, Delft, Netherlands; Water Resources Section, Delft University of Technology, Delft, Netherlands","Delipetrev, B., University Goce Delcev, Krste Misirkov bb, Shtip, 2000, North Macedonia; Jonoski, A., UNESCO-IHE Institute for Water Education, Delft, Netherlands; Solomatine, D.P., UNESCO-IHE Institute for Water Education, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands","Delipetrev, B.; University Goce Delcev, Krste Misirkov bb, North Macedonia; эл. почта: blagoj.delipetrev@ugd.edu.mk",,"IWA Publishing",14647141,,,,"English","J. Hydroinformatics",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85013131132
"Castro-Gama M., Pan Q., Lanfranchi E.A., Jonoski A., Solomatine D.P.","56083465500;55901795800;6506619152;6506344580;6601958160;","Pump Scheduling for a Large Water Distribution Network. Milan, Italy",2017,"Procedia Engineering","186",,,"436","443",,18,"10.1016/j.proeng.2017.03.249","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020794657&doi=10.1016%2fj.proeng.2017.03.249&partnerID=40&md5=660aea9642b1277b9f3e4d6cddfabc8b","IWSG Department, UNESCO-IHE, Delft, Zuid Holland, 2611 AX, Netherlands; Metropolitana Milanese S.p.A., Milan, 20121, Italy","Castro-Gama, M., IWSG Department, UNESCO-IHE, Delft, Zuid Holland, 2611 AX, Netherlands; Pan, Q., IWSG Department, UNESCO-IHE, Delft, Zuid Holland, 2611 AX, Netherlands; Lanfranchi, E.A., Metropolitana Milanese S.p.A., Milan, 20121, Italy; Jonoski, A., IWSG Department, UNESCO-IHE, Delft, Zuid Holland, 2611 AX, Netherlands; Solomatine, D.P., IWSG Department, UNESCO-IHE, Delft, Zuid Holland, 2611 AX, Netherlands","Castro-Gama, M.; IWSG Department, Netherlands; эл. почта: m.castrogama@unesco-ihe.org","Saldarriaga J.","Elsevier Ltd",18777058,,,,"English","Procedia Eng.",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85020794657
"Bhattacharya B., Islam T., Masud S., Suman A., Solomatine D.P.","7102753426;57197324534;57193401942;56890905000;6601958160;","The use of a flood index to characterise flooding in the north-eastern region of Bangladesh",2016,"E3S Web of Conferences","7",, 10003,"","",,1,"10.1051/e3sconf/20160710003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013683785&doi=10.1051%2fe3sconf%2f20160710003&partnerID=40&md5=cfdd385271255fabaf72c71a40a58eab","UNESCO-IHE, Institute for Water Education, Westvest 7, DA Delft, 2601, Netherlands; Institute of Water Modelling, Road # 32, Mohakhali, Dhaka, Bangladesh; Institute for Applied Ecology, Faculty of ESTeM, University of Canberra, Australia","Bhattacharya, B., UNESCO-IHE, Institute for Water Education, Westvest 7, DA Delft, 2601, Netherlands; Islam, T., Institute of Water Modelling, Road # 32, Mohakhali, Dhaka, Bangladesh; Masud, S., Institute of Water Modelling, Road # 32, Mohakhali, Dhaka, Bangladesh; Suman, A., Institute for Applied Ecology, Faculty of ESTeM, University of Canberra, Australia; Solomatine, D.P., UNESCO-IHE, Institute for Water Education, Westvest 7, DA Delft, 2601, Netherlands","Bhattacharya, B.; UNESCO-IHE, Westvest 7, Netherlands; эл. почта: B.Bhattacharya@unesco-ihe.org","Samuels P.Klijn F.Lang M.","EDP Sciences",22671242,,,,"English","E3S Web Conf.",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85013683785
"Hu Y., Schmeits M.J., Andel S.J., Verkade J.S., Xu M., Solomatine D.P., Liang Z.","55772351500;6603849025;15521024700;36627698700;57220920301;6601958160;7402177894;","A stratified sampling approach for improved sampling from a calibrated ensemble forecast distribution",2016,"Journal of Hydrometeorology","17","9",,"2405","2417",,6,"10.1175/JHM-D-15-0205.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990821354&doi=10.1175%2fJHM-D-15-0205.1&partnerID=40&md5=b76f20b441e544af25263cd89669bba1","College of Hydrology and Water Resources, Hohai University, Nanjing, China; UNESCO-IHE Institute for Water Education, Delft, Netherlands; Royal Netherlands Meteorological Institute, De Bilt, Netherlands; Deltares, Delft, Netherlands; Water Resources Section, Delft University of Technology, Delft, Netherlands; National Cooperative Innovation Centre for Water Safety and Hydro-Science, Nanjing, China; State Key Laboratory of Hydrology-Water Resources and Hydraulic Engineering, Hohai University, Nanjing, China","Hu, Y., College of Hydrology and Water Resources, Hohai University, Nanjing, China, UNESCO-IHE Institute for Water Education, Delft, Netherlands; Schmeits, M.J., Royal Netherlands Meteorological Institute, De Bilt, Netherlands; Andel, S.J., UNESCO-IHE Institute for Water Education, Delft, Netherlands; Verkade, J.S., Deltares, Delft, Netherlands; Xu, M., Deltares, Delft, Netherlands; Solomatine, D.P., UNESCO-IHE Institute for Water Education, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands; Liang, Z., National Cooperative Innovation Centre for Water Safety and Hydro-Science, Nanjing, China, State Key Laboratory of Hydrology-Water Resources and Hydraulic Engineering, Hohai University, Nanjing, China","Hu, Y.; College of Hydrology and Water Resources, No. 1 Xikang Road, China; эл. почта: hymkyan@163.com",,"American Meteorological Society",1525755X,,,,"English","J. Hydrometeorol.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84990821354
"Mukolwe M.M., Yan K., Di Baldassarre G., Solomatine D.P.","56191837100;55777256200;14120990400;6601958160;","Testing new sources of topographic data for flood propagation modelling under structural, parameter and observation uncertainty",2016,"Hydrological Sciences Journal","61","9",,"1707","1715",,9,"10.1080/02626667.2015.1019507","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969821547&doi=10.1080%2f02626667.2015.1019507&partnerID=40&md5=f914e02fe1f3f8deb0872540f60bc628","Integrated Water Systems and Governance, UNESCO-IHE Institute for Water Education, Delft, Netherlands; Civil Engineering and Geosciences, Delft University of Technology, Delft, Netherlands; Department of Earth Sciences, Uppsala University, Uppsala, Sweden","Mukolwe, M.M., Integrated Water Systems and Governance, UNESCO-IHE Institute for Water Education, Delft, Netherlands, Civil Engineering and Geosciences, Delft University of Technology, Delft, Netherlands; Yan, K., Integrated Water Systems and Governance, UNESCO-IHE Institute for Water Education, Delft, Netherlands, Civil Engineering and Geosciences, Delft University of Technology, Delft, Netherlands; Di Baldassarre, G., Department of Earth Sciences, Uppsala University, Uppsala, Sweden; Solomatine, D.P., Integrated Water Systems and Governance, UNESCO-IHE Institute for Water Education, Delft, Netherlands, Civil Engineering and Geosciences, Delft University of Technology, Delft, Netherlands","Yan, K.; Integrated Water Systems and Governance, Netherlands; эл. почта: k.yan@unesco-ihe.org",,"Taylor and Francis Ltd.",02626667,,HSJOD,,"English","Hydrol. Sci. J.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84969821547
"Mercado V.D., Perez G.C., Solomatine D., Van Lanen H.A.J.","57192113287;16416535700;6601958160;6701418228;","Spatio-temporal Analysis of Hydrological Drought at Catchment Scale Using a Spatially-distributed Hydrological Model",2016,"Procedia Engineering","154",,,"738","744",,6,"10.1016/j.proeng.2016.07.577","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997830664&doi=10.1016%2fj.proeng.2016.07.577&partnerID=40&md5=e3334d8fcdcfb9af0ed5a893cf3f3b2f","UNESCO-IHE Institute for Water Education, Delft, 2601 DA, Netherlands; Hydrology and Quantitative Water Management Group, Wageningen University, Wageningen, 6708 PB, Netherlands","Mercado, V.D., UNESCO-IHE Institute for Water Education, Delft, 2601 DA, Netherlands; Perez, G.C., UNESCO-IHE Institute for Water Education, Delft, 2601 DA, Netherlands; Solomatine, D., UNESCO-IHE Institute for Water Education, Delft, 2601 DA, Netherlands; Van Lanen, H.A.J., Hydrology and Quantitative Water Management Group, Wageningen University, Wageningen, 6708 PB, Netherlands","Mercado, V.D.; UNESCO-IHE Institute for Water EducationNetherlands; эл. почта: vitalidime@gmail.com","Yoo D.G.Kim H.S.Kim J.H.Jung D.Song C.G.","Elsevier Ltd",18777058,,,,"English","Procedia Eng.",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-84997830664
"Le M.H., Perez G.C., Solomatine D., Nguyen L.B.","57192110941;16416535700;6601958160;57190163468;","Meteorological Drought Forecasting Based on Climate Signals Using Artificial Neural Network - A Case Study in Khanhhoa Province Vietnam",2016,"Procedia Engineering","154",,,"1169","1175",,20,"10.1016/j.proeng.2016.07.528","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997637208&doi=10.1016%2fj.proeng.2016.07.528&partnerID=40&md5=286fe7f120bbfa1c323376eead2768a3","Barcelona School of Civil Engineering, Technical University of Catalonia, Barcelona, 08001, Spain; UNESCO-IHE Institute for Water Education, P.O. Box 3015, Delft, 2601DA, Netherlands; Faculty of Water Resources Engineering, Thuy Loi University, Hanoi, 10000, Viet Nam","Le, M.H., Barcelona School of Civil Engineering, Technical University of Catalonia, Barcelona, 08001, Spain; Perez, G.C., UNESCO-IHE Institute for Water Education, P.O. Box 3015, Delft, 2601DA, Netherlands; Solomatine, D., UNESCO-IHE Institute for Water Education, P.O. Box 3015, Delft, 2601DA, Netherlands; Nguyen, L.B., Faculty of Water Resources Engineering, Thuy Loi University, Hanoi, 10000, Viet Nam","Le, M.H.; Barcelona School of Civil Engineering, Spain; эл. почта: lmh.hydrology@gmail.com","Yoo D.G.Kim H.S.Kim J.H.Jung D.Song C.G.","Elsevier Ltd",18777058,,,,"English","Procedia Eng.",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-84997637208
"Castro-Gama M.E., Pan Q., Jonoski A., Solomatine D.","56083465500;55901795800;6506344580;6601958160;","A Graph Theoretical Sectorization Approach for Energy Reduction in Water Distribution Networks",2016,"Procedia Engineering","154",,,"19","26",,5,"10.1016/j.proeng.2016.07.414","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997610549&doi=10.1016%2fj.proeng.2016.07.414&partnerID=40&md5=9b1fecce22c5789575ae560244753c8a","UNESCO-IHE, Institute for Water Education, Westvest 7, Delft, 2611AX, Netherlands","Castro-Gama, M.E., UNESCO-IHE, Institute for Water Education, Westvest 7, Delft, 2611AX, Netherlands; Pan, Q., UNESCO-IHE, Institute for Water Education, Westvest 7, Delft, 2611AX, Netherlands; Jonoski, A., UNESCO-IHE, Institute for Water Education, Westvest 7, Delft, 2611AX, Netherlands; Solomatine, D., UNESCO-IHE, Institute for Water Education, Westvest 7, Delft, 2611AX, Netherlands","Castro-Gama, M.E.; UNESCO-IHE, Westvest 7, Netherlands; эл. почта: m.castrogama@unesco-ihe.org","Yoo D.G.Kim H.S.Kim J.H.Jung D.Song C.G.","Elsevier Ltd",18777058,,,,"English","Procedia Eng.",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-84997610549
